t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	-1.6700000000e-02,	2.5000000000e+00,	6.5000000000e+02,	4.5000000000e+02,	4.0000000000e+00
1.0000000000e-04,	-1.6299123038e-02,	2.4999983500e+00,	6.4962588414e+02,	4.4878036650e+02,	4.0169103529e+00
2.0000000000e-04,	-1.5896742699e-02,	2.4999967402e+00,	6.4917347670e+02,	4.4766959480e+02,	4.0300776380e+00
3.0000000000e-04,	-1.5493230254e-02,	2.4999951707e+00,	6.4864350377e+02,	4.4666537288e+02,	4.0395626179e+00
4.0000000000e-04,	-1.5088950879e-02,	2.4999936416e+00,	6.4803676326e+02,	4.4576543793e+02,	4.0454265065e+00
5.0000000000e-04,	-1.4684263594e-02,	2.4999921529e+00,	6.4735412344e+02,	4.4496756417e+02,	4.0477311855e+00
6.0000000000e-04,	-1.4279521192e-02,	2.4999907048e+00,	6.4659652157e+02,	4.4426955255e+02,	4.0465393804e+00
7.0000000000e-04,	-1.3875070145e-02,	2.4999892970e+00,	6.4576496237e+02,	4.4366922222e+02,	4.0419148031e+00
8.0000000000e-04,	-1.3471250498e-02,	2.4999879297e+00,	6.4486051660e+02,	4.4316440325e+02,	4.0339222669e+00
9.0000000000e-04,	-1.3068395758e-02,	2.4999866027e+00,	6.4388431953e+02,	4.4275293066e+02,	4.0226277774e+00
1.0000000000e-03,	-1.2666832767e-02,	2.4999853160e+00,	6.4283756945e+02,	4.4243263921e+02,	4.0080986047e+00
1.1000000000e-03,	-1.2266881575e-02,	2.4999840693e+00,	6.4172152615e+02,	4.4220135925e+02,	3.9904033381e+00
1.2000000000e-03,	-1.1868855306e-02,	2.4999828626e+00,	6.4053750930e+02,	4.4205691303e+02,	3.9696119255e+00
1.3000000000e-03,	-1.1473060019e-02,	2.4999816955e+00,	6.3928689694e+02,	4.4199711183e+02,	3.9457957022e+00
1.4000000000e-03,	-1.1079794569e-02,	2.4999805679e+00,	6.3797112378e+02,	4.4201975346e+02,	3.9190274063e+00
1.5000000000e-03,	-1.0689350470e-02,	2.4999794794e+00,	6.3659167964e+02,	4.4212262032e+02,	3.8893811864e+00
1.6000000000e-03,	-1.0302011746e-02,	2.4999784299e+00,	6.3515010774e+02,	4.4230347774e+02,	3.8569326001e+00
1.7000000000e-03,	-9.9180547982e-03,	2.4999774189e+00,	6.3364800301e+02,	4.4256007278e+02,	3.8217586047e+00
1.8000000000e-03,	-9.5377482620e-03,	2.4999764462e+00,	6.3208701040e+02,	4.4289013331e+02,	3.7839375417e+00
1.9000000000e-03,	-9.1613528701e-03,	2.4999755112e+00,	6.3046882308e+02,	4.4329136729e+02,	3.7435491157e+00
2.0000000000e-03,	-8.7891213177e-03,	2.4999746137e+00,	6.2879518072e+02,	4.4376146237e+02,	3.7006743669e+00
2.1000000000e-03,	-8.4212981307e-03,	2.4999737533e+00,	6.2706786768e+02,	4.4429808568e+02,	3.6553956400e+00
2.2000000000e-03,	-8.0581195366e-03,	2.4999729293e+00,	6.2528871118e+02,	4.4489888378e+02,	3.6077965482e+00
2.3000000000e-03,	-7.6998133398e-03,	2.4999721415e+00,	6.2345957950e+02,	4.4556148282e+02,	3.5579619336e+00
2.4000000000e-03,	-7.3465988010e-03,	2.4999713892e+00,	6.2158238003e+02,	4.4628348883e+02,	3.5059778241e+00
2.5000000000e-03,	-6.9986865205e-03,	2.4999706720e+00,	6.1965905751e+02,	4.4706248813e+02,	3.4519313875e+00
2.6000000000e-03,	-6.6562783269e-03,	2.4999699893e+00,	6.1769159200e+02,	4.4789604789e+02,	3.3959108821e+00
2.7000000000e-03,	-6.3195671708e-03,	2.4999693405e+00,	6.1568199706e+02,	4.4878171677e+02,	3.3380056058e+00
2.8000000000e-03,	-5.9887370230e-03,	2.4999687252e+00,	6.1363231777e+02,	4.4971702566e+02,	3.2783058423e+00
2.9000000000e-03,	-5.6639627791e-03,	2.4999681426e+00,	6.1154462877e+02,	4.5069948848e+02,	3.2169028058e+00
