t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	-8.3500000000e-02,	2.5000000000e+00,	3.5000000000e+02,	2.5000000000e+02,	2.0000000000e+00
1.0000000000e-04,	-8.3266533601e-02,	2.4999916611e+00,	3.7101619167e+02,	2.3763213549e+02,	2.6676811234e+00
2.0000000000e-04,	-8.2966806773e-02,	2.4999833489e+00,	3.9169115585e+02,	2.2543766909e+02,	3.3250697352e+00
3.0000000000e-04,	-8.2601891879e-02,	2.4999750699e+00,	4.1199033477e+02,	2.1342595128e+02,	3.9712876697e+00
4.0000000000e-04,	-8.2172954719e-02,	2.4999668307e+00,	4.3187302722e+02,	2.0160629210e+02,	4.6053347025e+00
5.0000000000e-04,	-8.1681270453e-02,	2.4999586374e+00,	4.5128811669e+02,	1.8998791548e+02,	5.2260040243e+00
6.0000000000e-04,	-8.1128252551e-02,	2.4999504964e+00,	4.7016420168e+02,	1.7857991323e+02,	5.8316857689e+00
7.0000000000e-04,	-8.0515517554e-02,	2.4999424138e+00,	4.8837799390e+02,	1.6739119334e+02,	6.4197360114e+00
8.0000000000e-04,	-7.9845196724e-02,	2.4999343953e+00,	5.0536572439e+02,	1.5643040300e+02,	6.9787064277e+00
9.0000000000e-04,	-7.9120999255e-02,	2.4999264465e+00,	5.2078921859e+02,	1.4570568342e+02,	7.5016707033e+00
1.0000000000e-03,	-7.8345479798e-02,	2.4999185728e+00,	5.3552013256e+02,	1.3522457276e+02,	8.0059111959e+00
1.1000000000e-03,	-7.7520348405e-02,	2.4999107791e+00,	5.4970272370e+02,	1.2499428184e+02,	8.4941688371e+00
1.2000000000e-03,	-7.6647141289e-02,	2.4999030703e+00,	5.6339940482e+02,	1.1502176700e+02,	8.9675527564e+00
1.3000000000e-03,	-7.5727314241e-02,	2.4998954512e+00,	5.7664560159e+02,	1.0531374733e+02,	9.4266370853e+00
1.4000000000e-03,	-7.4762279734e-02,	2.4998879264e+00,	5.8946375942e+02,	9.5876710457e+01,	9.8717409792e+00
1.5000000000e-03,	-7.3753426090e-02,	2.4998805002e+00,	6.0186894760e+02,	8.6716913420e+01,	1.0303040684e+01
1.6000000000e-03,	-7.2702128724e-02,	2.4998731771e+00,	6.1387161817e+02,	7.7840381140e+01,	1.0720624741e+01
1.7000000000e-03,	-7.1609757232e-02,	2.4998659612e+00,	6.2547914710e+02,	6.9252903603e+01,	1.1124524870e+01
1.8000000000e-03,	-7.0477680061e-02,	2.4998588565e+00,	6.3669677347e+02,	6.0960032343e+01,	1.1514734822e+01
1.9000000000e-03,	-6.9307267652e-02,	2.4998518669e+00,	6.4752820936e+02,	5.2967076556e+01,	1.1891222656e+01
2.0000000000e-03,	-6.8099894563e-02,	2.4998449962e+00,	6.5797605593e+02,	4.5279099073e+01,	1.2253939137e+01
2.1000000000e-03,	-6.6856940881e-02,	2.4998382481e+00,	6.6804209850e+02,	3.7900912315e+01,	1.2602823724e+01
2.2000000000e-03,	-6.5579793126e-02,	2.4998316260e+00,	6.7772752257e+02,	3.0837074317e+01,	1.2937808965e+01
2.3000000000e-03,	-6.4269844766e-02,	2.4998251332e+00,	6.8703307630e+02,	2.4091884875e+01,	1.3258823828e+01
2.4000000000e-03,	-6.2928496442e-02,	2.4998187731e+00,	6.9595919537e+02,	1.7669381868e+01,	1.3565796270e+01
2.5000000000e-03,	-6.1557155963e-02,	2.4998125485e+00,	7.0450610083e+02,	1.1573337766e+01,	1.3858655261e+01
2.6000000000e-03,	-6.0157238122e-02,	2.4998064626e+00,	7.1267387706e+02,	5.8072563573e+00,	1.4137332414e+01
2.7000000000e-03,	-5.8730164361e-02,	2.4998005180e+00,	7.2046253472e+02,	3.7436970160e-01,	1.4401763300e+01
2.8000000000e-03,	-5.7277362323e-02,	2.4997947174e+00,	7.2787206226e+02,	-4.7223646814e+00,	1.4651888539e+01
2.9000000000e-03,	-5.5800265297e-02,	2.4997890633e+00,	7.3490246854e+02,	-9.4802663780e+00,	1.4887654698e+01
3.0000000000e-03,	-5.4300311585e-02,	2.4997835581e+00,	7.4155381828e+02,	-1.3896934399e+01,	1.5109015054e+01
3.1000000000e-03,	-5.2778943801e-02,	2.4997782040e+00,	7.4782626203e+02,	-1.7970249244e+01,	1.5315930226e+01
3.2000000000e-03,	-5.1237608105e-02,	2.4997730030e+00,	7.5372006139e+02,	-2.1698374719e+01,	1.5508368722e+01
3.3000000000e-03,	-4.9677753394e-02,	2.4997679571e+00,	7.5923561057e+02,	-2.5079759485e+01,	1.5686307401e+01
3.4000000000e-03,	-4.8100830443e-02,	2.4997630680e+00,	7.6437345483e+02,	-2.8113138367e+01,	1.5849731864e+01
3.5000000000e-03,	-4.6508291016e-02,	2.4997583374e+00,	7.6913430626e+02,	-3.0797533395e+01,	1.5998636793e+01
3.6000000000e-03,	-4.4901586944e-02,	2.4997537668e+00,	7.7351905736e+02,	-3.3132254595e+01,	1.6133026239e+01
3.7000000000e-03,	-4.3282169173e-02,	2.4997493575e+00,	7.7752879280e+02,	-3.5116900520e+01,	1.6252913866e+01
