t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	-8.3500000000e-02,	2.5000000000e+00,	3.0000000000e+02,	5.5000000000e+02,	-5.0000000000e+00
1.0000000000e-04,	-8.3958832711e-02,	2.4999916264e+00,	3.2169302091e+02,	5.3061430311e+02,	-4.1784256439e+00
2.0000000000e-04,	-8.4336101609e-02,	2.4999832110e+00,	3.4322114769e+02,	5.1169413038e+02,	-3.3694596537e+00
3.0000000000e-04,	-8.4633497358e-02,	2.4999747618e+00,	3.6455301974e+02,	4.9385391015e+02,	-2.5860178084e+00
4.0000000000e-04,	-8.4854384329e-02,	2.4999662868e+00,	3.8565490477e+02,	4.7739004860e+02,	-1.8347028766e+00
5.0000000000e-04,	-8.5000951644e-02,	2.4999577934e+00,	4.0648952576e+02,	4.6143962790e+02,	-1.0990020429e+00
6.0000000000e-04,	-8.5074641157e-02,	2.4999492890e+00,	4.2701361554e+02,	4.4586567286e+02,	-3.7704114633e-01
7.0000000000e-04,	-8.5076814767e-02,	2.4999407809e+00,	4.4717369840e+02,	4.3061145513e+02,	3.3124486534e-01
8.0000000000e-04,	-8.5008875633e-02,	2.4999322760e+00,	4.6689670077e+02,	4.1564708814e+02,	1.0249922525e+00
9.0000000000e-04,	-8.4872367330e-02,	2.4999237814e+00,	4.8606122452e+02,	4.0095561092e+02,	1.7021122720e+00
1.0000000000e-03,	-8.4669250291e-02,	2.4999153038e+00,	5.0417460401e+02,	3.8652734718e+02,	2.3529451364e+00
1.1000000000e-03,	-8.4403100098e-02,	2.4999068496e+00,	5.2068221917e+02,	3.7235693503e+02,	2.9665056829e+00
1.2000000000e-03,	-8.4076539375e-02,	2.4998984252e+00,	5.3654610760e+02,	3.5844165080e+02,	3.5620891361e+00
1.3000000000e-03,	-8.3691171090e-02,	2.4998900363e+00,	5.5192876518e+02,	3.4478076854e+02,	4.1429599328e+00
1.4000000000e-03,	-8.3248393942e-02,	2.4998816888e+00,	5.6689583244e+02,	3.3137504995e+02,	4.7104156497e+00
1.5000000000e-03,	-8.2749512248e-02,	2.4998733885e+00,	5.8148302611e+02,	3.1822635788e+02,	5.2651333647e+00
1.6000000000e-03,	-8.2195779059e-02,	2.4998651408e+00,	5.9571197226e+02,	3.0533737715e+02,	5.8074919023e+00
1.7000000000e-03,	-8.1588418788e-02,	2.4998569511e+00,	6.0959637450e+02,	2.9271140826e+02,	6.3376993249e+00
1.8000000000e-03,	-8.0928640812e-02,	2.4998488248e+00,	6.2314500438e+02,	2.8035221125e+02,	6.8558558627e+00
1.9000000000e-03,	-8.0217648327e-02,	2.4998407671e+00,	6.3636335504e+02,	2.6826388501e+02,	7.3619894006e+00
2.0000000000e-03,	-7.9456644411e-02,	2.4998327830e+00,	6.4925464138e+02,	2.5645077212e+02,	7.8560773853e+00
2.1000000000e-03,	-7.8646836292e-02,	2.4998248774e+00,	6.6182044608e+02,	2.4491738254e+02,	8.3380612708e+00
2.2000000000e-03,	-7.7789438423e-02,	2.4998170552e+00,	6.7406115834e+02,	2.3366833143e+02,	8.8078565382e+00
2.3000000000e-03,	-7.6885674699e-02,	2.4998093210e+00,	6.8597628417e+02,	2.2270828786e+02,	9.2653599260e+00
2.4000000000e-03,	-7.5936780044e-02,	2.4998016795e+00,	6.9756467303e+02,	2.1204193187e+02,	9.7104548232e+00
2.5000000000e-03,	-7.4944001538e-02,	2.4997941351e+00,	7.0882468809e+02,	2.0167391818e+02,	1.0143015398e+01
2.6000000000e-03,	-7.3908599166e-02,	2.4997866922e+00,	7.1975433703e+02,	1.9160884529e+02,	1.0562909835e+01
2.7000000000e-03,	-7.2831846282e-02,	2.4997793548e+00,	7.3035137462e+02,	1.8185122871e+02,	1.0970002918e+01
2.8000000000e-03,	-7.1715029845e-02,	2.4997721271e+00,	7.4061338457e+02,	1.7240547786e+02,	1.1364158134e+01
2.9000000000e-03,	-7.0559450455e-02,	2.4997650131e+00,	7.5053784582e+02,	1.6327587578e+02,	1.1745239401e+01
3.0000000000e-03,	-6.9366422240e-02,	2.4997580165e+00,	7.6012218696e+02,	1.5446656133e+02,	1.2113112513e+01
3.1000000000e-03,	-6.8137272599e-02,	2.4997511410e+00,	7.6936383147e+02,	1.4598151339e+02,	1.2467646362e+01
3.2000000000e-03,	-6.6873341848e-02,	2.4997443902e+00,	7.7826023563e+02,	1.3782453684e+02,	1.2808713976e+01
3.3000000000e-03,	-6.5575982750e-02,	2.4997377675e+00,	7.8680892069e+02,	1.2999925009e+02,	1.3136193412e+01
3.4000000000e-03,	-6.4246559983e-02,	2.4997312761e+00,	7.9500750033e+02,	1.2250907388e+02,	1.3449968529e+01
3.5000000000e-03,	-6.2886449518e-02,	2.4997249192e+00,	8.0285370431e+02,	1.1535722121e+02,	1.3749929662e+01
3.6000000000e-03,	-6.1497037945e-02,	2.4997186998e+00,	8.1034539886e+02,	1.0854668833e+02,	1.4035974210e+01
3.7000000000e-03,	-6.0079721738e-02,	2.4997126207e+00,	8.1748060446e+02,	1.0208024668e+02,	1.4308007156e+01
3.8000000000e-03,	-5.8635906476e-02,	2.4997066847e+00,	8.2425751143e+02,	9.5960435498e+01,	1.4565941519e+01
3.9000000000e-03,	-5.7167006015e-02,	2.4997008943e+00,	8.3067449348e+02,	9.0189555362e+01,	1.4809698762e+01
4.0000000000e-03,	-5.5674441629e-02,	2.4996952521e+00,	8.3673011971e+02,	8.4769662241e+01,	1.5039209149e+01
4.1000000000e-03,	-5.4159641112e-02,	2.4996897602e+00,	8.4242316513e+02,	7.9702562262e+01,	1.5254412057e+01
4.2000000000e-03,	-5.2624037852e-02,	2.4996844208e+00,	8.4775261992e+02,	7.4989807017e+01,	1.5455256258e+01
4.3000000000e-03,	-5.1069069881e-02,	2.4996792360e+00,	8.5271769763e+02,	7.0632689402e+01,	1.5641700165e+01
4.4000000000e-03,	-4.9496178898e-02,	2.4996742076e+00,	8.5731784232e+02,	6.6632239965e+01,	1.5813712047e+01
4.5000000000e-03,	-4.7906809273e-02,	2.4996693374e+00,	8.6155273489e+02,	6.2989223712e+01,	1.5971270224e+01
4.6000000000e-03,	-4.6302407037e-02,	2.4996646268e+00,	8.6542229857e+02,	5.9704137358e+01,	1.6114363224e+01
4.7000000000e-03,	-4.4684418850e-02,	2.4996600773e+00,	8.6892670367e+02,	5.6777207002e+01,	1.6242989933e+01
4.8000000000e-03,	-4.3054290960e-02,	2.4996556903e+00,	8.7206637173e+02,	5.4208386199e+01,	1.6357159711e+01
4.9000000000e-03,	-4.1413468152e-02,	2.4996514668e+00,	8.7484197900e+02,	5.1997354408e+01,	1.6456892492e+01
5.0000000000e-03,	-3.9763392687e-02,	2.4996474079e+00,	8.7725445937e+02,	5.0143515816e+01,	1.6542218871e+01
5.1000000000e-03,	-3.8105503226e-02,	2.4996435144e+00,	8.7930500683e+02,	4.8645998506e+01,	1.6613180166e+01
5.2000000000e-03,	-3.6441233765e-02,	2.4996397870e+00,	8.8099507733e+02,	4.7503653965e+01,	1.6669828467e+01
5.3000000000e-03,	-3.4772012548e-02,	2.4996362263e+00,	8.8232639032e+02,	4.6715056926e+01,	1.6712226668e+01
5.4000000000e-03,	-3.3099260990e-02,	2.4996328327e+00,	8.8330092976e+02,	4.6278505514e+01,	1.6740448485e+01
5.5000000000e-03,	-3.1424392591e-02,	2.4996296065e+00,	8.8392094472e+02,	4.6192021710e+01,	1.6754578460e+01
5.6000000000e-03,	-2.9748811859e-02,	2.4996265479e+00,	8.8418894970e+02,	4.6453352104e+01,	1.6754711952e+01
5.7000000000e-03,	-2.8073913224e-02,	2.4996236568e+00,	8.8410772447e+02,	4.7059968938e+01,	1.6740955111e+01
5.8000000000e-03,	-2.6401079963e-02,	2.4996209330e+00,	8.8368031359e+02,	4.8009071434e+01,	1.6713424843e+01
5.9000000000e-03,	-2.4731683127e-02,	2.4996183764e+00,	8.8291002569e+02,	4.9297587380e+01,	1.6672248766e+01
6.0000000000e-03,	-2.3067080473e-02,	2.4996159865e+00,	8.8180043228e+02,	5.0922174998e+01,	1.6617565146e+01
6.1000000000e-03,	-2.1408615400e-02,	2.4996137628e+00,	8.8035536641e+02,	5.2879225049e+01,	1.6549522827e+01
6.2000000000e-03,	-1.9757615898e-02,	2.4996117046e+00,	8.7857892095e+02,	5.5164863198e+01,	1.6468281155e+01
6.3000000000e-03,	-1.8115393500e-02,	2.4996098110e+00,	8.7647544662e+02,	5.7774952615e+01,	1.6374009880e+01
6.4000000000e-03,	-1.6483242251e-02,	2.4996080811e+00,	8.7404954980e+02,	6.0705096811e+01,	1.6266889060e+01
6.5000000000e-03,	-1.4862437676e-02,	2.4996065140e+00,	8.7130609003e+02,	6.3950642698e+01,	1.6147108947e+01
6.6000000000e-03,	-1.3254235772e-02,	2.4996051082e+00,	8.6825017733e+02,	6.7506683863e+01,	1.6014869869e+01
