t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	-8.3500000000e-02,	2.5000000000e+00,	5.0000000000e+02,	6.5000000000e+02,	-3.0000000000e+00
1.0000000000e-04,	-8.3762188339e-02,	2.4999916363e+00,	5.1654828578e+02,	6.2893236856e+02,	-2.2476816556e+00
2.0000000000e-04,	-8.3950099071e-02,	2.4999832500e+00,	5.3245810994e+02,	6.0810524969e+02,	-1.5129427951e+00
3.0000000000e-04,	-8.4065229921e-02,	2.4999748487e+00,	5.4796354335e+02,	5.8755667823e+02,	-7.9186269754e-01
4.0000000000e-04,	-8.4108906450e-02,	2.4999664394e+00,	5.6313861964e+02,	5.6733145140e+02,	-8.3856635310e-02
5.0000000000e-04,	-8.4082449314e-02,	2.4999580292e+00,	5.7802023686e+02,	5.4748608031e+02,	6.1068313086e-01
6.0000000000e-04,	-8.3987256982e-02,	2.4999496252e+00,	5.9262897230e+02,	5.2810055892e+02,	1.2905682677e+00
7.0000000000e-04,	-8.3824907659e-02,	2.4999412340e+00,	6.0697659233e+02,	5.0931915146e+02,	1.9531488174e+00
8.0000000000e-04,	-8.3597631888e-02,	2.4999328624e+00,	6.2106959508e+02,	4.9186827760e+02,	2.5840263495e+00
9.0000000000e-04,	-8.3309110787e-02,	2.4999245165e+00,	6.3491133991e+02,	4.7574901465e+02,	3.1832465052e+00
1.0000000000e-03,	-8.2961532535e-02,	2.4999162025e+00,	6.4850314646e+02,	4.6021234226e+02,	3.7658160840e+00
1.1000000000e-03,	-8.2556419629e-02,	2.4999079261e+00,	6.6184472263e+02,	4.4513534844e+02,	4.3341874839e+00
1.2000000000e-03,	-8.2095131723e-02,	2.4998996931e+00,	6.7493456989e+02,	4.3046241352e+02,	4.8894431273e+00
1.3000000000e-03,	-8.1578948604e-02,	2.4998915089e+00,	6.8777028875e+02,	4.1616215260e+02,	5.4321627229e+00
1.4000000000e-03,	-8.1009106043e-02,	2.4998833791e+00,	7.0034880416e+02,	4.0221522532e+02,	5.9626715769e+00
1.5000000000e-03,	-8.0386815353e-02,	2.4998753089e+00,	7.1266653511e+02,	3.8860926488e+02,	6.4811454047e+00
1.6000000000e-03,	-7.9713275400e-02,	2.4998673034e+00,	7.2471952492e+02,	3.7533632645e+02,	6.9876639693e+00
1.7000000000e-03,	-7.8989680525e-02,	2.4998593679e+00,	7.3650354346e+02,	3.6239144114e+02,	7.4822420465e+00
1.8000000000e-03,	-7.8217225997e-02,	2.4998515071e+00,	7.4801416864e+02,	3.4977172580e+02,	7.9648488568e+00
1.9000000000e-03,	-7.7397111882e-02,	2.4998437260e+00,	7.5924685241e+02,	3.3747580044e+02,	8.4354210393e+00
2.0000000000e-03,	-7.6530545820e-02,	2.4998360293e+00,	7.7019697512e+02,	3.2550338835e+02,	8.8938717354e+00
2.1000000000e-03,	-7.5618745030e-02,	2.4998284214e+00,	7.8085989070e+02,	3.1385503093e+02,	9.3400971954e+00
2.2000000000e-03,	-7.4662937736e-02,	2.4998209070e+00,	7.9123096472e+02,	3.0253187788e+02,	9.7739817367e+00
2.3000000000e-03,	-7.3664364168e-02,	2.4998134903e+00,	8.0130560682e+02,	2.9153552879e+02,	1.0195401561e+01
2.4000000000e-03,	-7.2624277209e-02,	2.4998061755e+00,	8.1107929852e+02,	2.8086791067e+02,	1.0604227757e+01
2.5000000000e-03,	-7.1543942790e-02,	2.4997989667e+00,	8.2054761733e+02,	2.7053118163e+02,	1.1000328714e+01
2.6000000000e-03,	-7.0424640053e-02,	2.4997918680e+00,	8.2970625780e+02,	2.6052765367e+02,	1.1383572083e+01
2.7000000000e-03,	-6.9267661344e-02,	2.4997848831e+00,	8.3855104994e+02,	2.5085973001e+02,	1.1753826399e+01
2.8000000000e-03,	-6.8074312053e-02,	2.4997780157e+00,	8.4707797556e+02,	2.4152985340e+02,	1.2110962443e+01
2.9000000000e-03,	-6.6845910331e-02,	2.4997712694e+00,	8.5528318275e+02,	2.3254046319e+02,	1.2454854391e+01
3.0000000000e-03,	-6.5583786699e-02,	2.4997646476e+00,	8.6316299877e+02,	2.2389395917e+02,	1.2785380792e+01
3.1000000000e-03,	-6.4289283571e-02,	2.4997581537e+00,	8.7071394159e+02,	2.1559267086e+02,	1.3102425415e+01
3.2000000000e-03,	-6.2963754692e-02,	2.4997517908e+00,	8.7793273021e+02,	2.0763883131e+02,	1.3405877978e+01
3.3000000000e-03,	-6.1608564509e-02,	2.4997455619e+00,	8.8481629399e+02,	2.0003455446e+02,	1.3695634791e+01
3.4000000000e-03,	-6.0225087486e-02,	2.4997394700e+00,	8.9136178097e+02,	1.9278181562e+02,	1.3971599307e+01
3.5000000000e-03,	-5.8814707363e-02,	2.4997335178e+00,	8.9756656542e+02,	1.8588243443e+02,	1.4233682620e+01
3.6000000000e-03,	-5.7378816372e-02,	2.4997277079e+00,	9.0342825456e+02,	1.7933805996e+02,	1.4481803892e+01
3.7000000000e-03,	-5.5918814409e-02,	2.4997220429e+00,	9.0894469467e+02,	1.7315015765e+02,	1.4715890740e+01
3.8000000000e-03,	-5.4436108168e-02,	2.4997165249e+00,	9.1411397653e+02,	1.6731999794e+02,	1.4935879572e+01
3.9000000000e-03,	-5.2932110255e-02,	2.4997111563e+00,	9.1893444023e+02,	1.6184864606e+02,	1.5141715883e+01
4.0000000000e-03,	-5.1408238258e-02,	2.4997059392e+00,	9.2340467956e+02,	1.5673695326e+02,	1.5333354526e+01
4.1000000000e-03,	-4.9865913802e-02,	2.4997008753e+00,	9.2752354576e+02,	1.5198554897e+02,	1.5510759936e+01
4.2000000000e-03,	-4.8306561582e-02,	2.4996959666e+00,	9.3129015092e+02,	1.4759483394e+02,	1.5673906340e+01
4.3000000000e-03,	-4.6731608372e-02,	2.4996912145e+00,	9.3470387083e+02,	1.4356497427e+02,	1.5822777931e+01
4.4000000000e-03,	-4.5142482024e-02,	2.4996866207e+00,	9.3776434748e+02,	1.3989589617e+02,	1.5957369026e+01
4.5000000000e-03,	-4.3540610443e-02,	2.4996821865e+00,	9.4047149111e+02,	1.3658728145e+02,	1.6077684193e+01
4.6000000000e-03,	-4.1927420563e-02,	2.4996779130e+00,	9.4282548193e+02,	1.3363856366e+02,	1.6183738366e+01
4.7000000000e-03,	-4.0304337302e-02,	2.4996738013e+00,	9.4482677142e+02,	1.3104892476e+02,	1.6275556933e+01
4.8000000000e-03,	-3.8672782511e-02,	2.4996698524e+00,	9.4647608330e+02,	1.2881729245e+02,	1.6353175817e+01
4.9000000000e-03,	-3.7034173923e-02,	2.4996660670e+00,	9.4777441417e+02,	1.2694233789e+02,	1.6416641525e+01
5.0000000000e-03,	-3.5389924086e-02,	2.4996624457e+00,	9.4872303378e+02,	1.2542247398e+02,	1.6466011196e+01
5.1000000000e-03,	-3.3741439304e-02,	2.4996589891e+00,	9.4932348508e+02,	1.2425585405e+02,	1.6501352621e+01
5.2000000000e-03,	-3.2090118566e-02,	2.4996556975e+00,	9.4957758384e+02,	1.2344037097e+02,	1.6522744258e+01
5.3000000000e-03,	-3.0437352486e-02,	2.4996525712e+00,	9.4948741805e+02,	1.2297365664e+02,	1.6530275228e+01
5.4000000000e-03,	-2.8784522229e-02,	2.4996496101e+00,	9.4905534703e+02,	1.2285308195e+02,	1.6524045302e+01
5.5000000000e-03,	-2.7132998454e-02,	2.4996468142e+00,	9.4828400021e+02,	1.2307575692e+02,	1.6504164866e+01
5.6000000000e-03,	-2.5484140252e-02,	2.4996441834e+00,	9.4717627572e+02,	1.2363853136e+02,	1.6470754887e+01
5.7000000000e-03,	-2.3839294090e-02,	2.4996417172e+00,	9.4573533864e+02,	1.2453799572e+02,	1.6423946858e+01
5.8000000000e-03,	-2.2199792762e-02,	2.4996394153e+00,	9.4396461902e+02,	1.2577048234e+02,	1.6363882734e+01
5.9000000000e-03,	-2.0566954347e-02,	2.4996372771e+00,	9.4186780967e+02,	1.2733206689e+02,	1.6290714856e+01
6.0000000000e-03,	-1.8942081173e-02,	2.4996353017e+00,	9.3944886370e+02,	1.2921857020e+02,	1.6204605870e+01
6.1000000000e-03,	-1.7326458793e-02,	2.4996334883e+00,	9.3671199180e+02,	1.3142556026e+02,	1.6105728631e+01
6.2000000000e-03,	-1.5721354968e-02,	2.4996318360e+00,	9.3366165933e+02,	1.3394835455e+02,	1.5994266096e+01
6.3000000000e-03,	-1.4128018663e-02,	2.4996303437e+00,	9.3030258318e+02,	1.3678202251e+02,	1.5870411213e+01
6.4000000000e-03,	-1.2547679053e-02,	2.4996290100e+00,	9.2663972841e+02,	1.3992138837e+02,	1.5734366801e+01
6.5000000000e-03,	-1.0981544546e-02,	2.4996278337e+00,	9.2267830467e+02,	1.4336103405e+02,	1.5586345412e+01
6.6000000000e-03,	-9.4308018087e-03,	2.4996268132e+00,	9.1842376251e+02,	1.4709530237e+02,	1.5426569203e+01
6.7000000000e-03,	-7.8966148225e-03,	2.4996259470e+00,	9.1388178937e+02,	1.5111830041e+02,	1.5255269779e+01
6.8000000000e-03,	-6.3801239399e-03,	2.4996252333e+00,	9.0905830551e+02,	1.5542390301e+02,	1.5072688050e+01
6.9000000000e-03,	-4.8824449644e-03,	2.4996246703e+00,	9.0395945973e+02,	1.6000575650e+02,	1.4879074065e+01
7.0000000000e-03,	-3.4046682445e-03,	2.4996242561e+00,	8.9859162488e+02,	1.6485728252e+02,	1.4674686847e+01
7.1000000000e-03,	-1.9478577846e-03,	2.4996239887e+00,	8.9296139334e+02,	1.6997168197e+02,	1.4459794227e+01
7.2000000000e-03,	-5.1305037325e-04,	2.4996238658e+00,	8.8707557222e+02,	1.7534193913e+02,	1.4234672662e+01
7.3000000000e-03,	8.9874527055e-04,	2.4996238853e+00,	8.8094117857e+02,	1.8096082581e+02,	1.3999607055e+01
7.4000000000e-03,	2.2865493330e-03,	2.4996240448e+00,	8.7456543434e+02,	1.8682090561e+02,	1.3754890575e+01
7.5000000000e-03,	3.6494117224e-03,	2.4996243418e+00,	8.6795576139e+02,	1.9291453822e+02,	1.3500824463e+01
7.6000000000e-03,	4.9864128671e-03,	2.4996247738e+00,	8.6111977627e+02,	1.9923388377e+02,	1.3237717850e+01
7.7000000000e-03,	6.2966644947e-03,	2.4996253382e+00,	8.5406528503e+02,	2.0577090718e+02,	1.2965887557e+01
7.8000000000e-03,	7.5793103918e-03,	2.4996260322e+00,	8.4680027793e+02,	2.1251738248e+02,	1.2685657909e+01
7.9000000000e-03,	8.8335271446e-03,	2.4996268531e+00,	8.3933292409e+02,	2.1946489705e+02,	1.2397360541e+01
8.0000000000e-03,	1.0058524860e-02,	2.4996277979e+00,	8.3167156621e+02,	2.2660485586e+02,	1.2101334207e+01
8.1000000000e-03,	1.1253547869e-02,	2.4996288638e+00,	8.2382471522e+02,	2.3392848544e+02,	1.1797924596e+01
8.2000000000e-03,	1.2417875411e-02,	2.4996300476e+00,	8.1580104499e+02,	2.4142683780e+02,	1.1487484144e+01
8.3000000000e-03,	1.3550822297e-02,	2.4996313463e+00,	8.0760938709e+02,	2.4909079406e+02,	1.1170371861e+01
8.4000000000e-03,	1.4651739562e-02,	2.4996327567e+00,	7.9925872564e+02,	2.5691106773e+02,	1.0846953158e+01
8.5000000000e-03,	1.5720015096e-02,	2.4996342756e+00,	7.9075819234e+02,	2.6487820772e+02,	1.0517599692e+01
8.6000000000e-03,	1.6755074260e-02,	2.4996358996e+00,	7.8211706161e+02,	2.7298260081e+02,	1.0182689216e+01
8.7000000000e-03,	1.7756380490e-02,	2.4996376255e+00,	7.7334474594e+02,	2.8121447355e+02,	9.8426054478e+00
8.8000000000e-03,	1.8723435886e-02,	2.4996394497e+00,	7.6445079160e+02,	2.8956389355e+02,	9.4977379609e+00
8.9000000000e-03,	1.9655781796e-02,	2.4996413690e+00,	7.5544487457e+02,	2.9802076977e+02,	9.1484820960e+00
9.0000000000e-03,	2.0552999388e-02,	2.4996433797e+00,	7.4633679701e+02,	3.0657485192e+02,	8.7952389018e+00
9.1000000000e-03,	2.1414710217e-02,	2.4996454784e+00,	7.3713648414e+02,	3.1521572848e+02,	8.4384151131e+00
9.2000000000e-03,	2.2240576799e-02,	2.4996476615e+00,	7.2785398178e+02,	3.2393282322e+02,	8.0784231711e+00
9.3000000000e-03,	2.3030303180e-02,	2.4996499253e+00,	7.1849945463e+02,	3.3271538974e+02,	7.7156812978e+00
9.4000000000e-03,	2.3783635525e-02,	2.4996522663e+00,	7.0908318546e+02,	3.4155250363e+02,	7.3506136366e+00
9.5000000000e-03,	2.4500362717e-02,	2.4996546808e+00,	6.9961557541e+02,	3.5043305165e+02,	6.9836504753e+00
9.6000000000e-03,	2.5180316988e-02,	2.4996571652e+00,	6.9010714561e+02,	3.5934571706e+02,	6.6152285711e+00
9.7000000000e-03,	2.5823374588e-02,	2.4996597157e+00,	6.8056854049e+02,	3.6827896020e+02,	6.2457916058e+00
9.8000000000e-03,	2.6429456505e-02,	2.4996623286e+00,	6.7101053307e+02,	3.7722099271e+02,	5.8757908073e+00
9.9000000000e-03,	2.6998529264e-02,	2.4996650003e+00,	6.6144403290e+02,	3.8615974371e+02,	5.5056857839e+00
1.0000000000e-02,	2.7530605813e-02,	2.4996677271e+00,	6.5188009702e+02,	3.9508281497e+02,	5.1359456410e+00
