t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	0.0000000000e+00,	2.5000000000e+00,	5.0000000000e+02,	3.5000000000e+02,	3.0000000000e+00
1.0000000000e-04,	2.9617840358e-04,	2.5000000149e+00,	4.9998690057e+02,	3.5381497702e+02,	2.9234384710e+00
2.0000000000e-04,	5.8466293684e-04,	2.5000000590e+00,	4.9994833497e+02,	3.5764162307e+02,	2.8461342379e+00
3.0000000000e-04,	8.6538283042e-04,	2.5000001315e+00,	4.9988540767e+02,	3.6147753786e+02,	2.7681573963e+00
4.0000000000e-04,	1.1382743458e-03,	2.5000002318e+00,	4.9979922938e+02,	3.6532030644e+02,	2.6895784587e+00
5.0000000000e-04,	1.4032808146e-03,	2.5000003589e+00,	4.9969091569e+02,	3.6916750037e+02,	2.6104683064e+00
6.0000000000e-04,	1.6603526730e-03,	2.5000005122e+00,	4.9956158577e+02,	3.7301667870e+02,	2.5308981413e+00
7.0000000000e-04,	1.9094474914e-03,	2.5000006907e+00,	4.9941236101e+02,	3.7686538905e+02,	2.4509394393e+00
8.0000000000e-04,	2.1505299996e-03,	2.5000008938e+00,	4.9924436372e+02,	3.8071116853e+02,	2.3706639039e+00
9.0000000000e-04,	2.3835721072e-03,	2.5000011206e+00,	4.9905871576e+02,	3.8455154467e+02,	2.2901434217e+00
1.0000000000e-03,	2.6085529198e-03,	2.5000013703e+00,	4.9885653722e+02,	3.8838403630e+02,	2.2094500183e+00
1.1000000000e-03,	2.8254587508e-03,	2.5000016420e+00,	4.9863894507e+02,	3.9220615426e+02,	2.1286558162e+00
1.2000000000e-03,	3.0342831290e-03,	2.5000019351e+00,	4.9840705188e+02,	3.9601540216e+02,	2.0478329944e+00
1.3000000000e-03,	3.2350268023e-03,	2.5000022486e+00,	4.9816196441e+02,	3.9980927692e+02,	1.9670537498e+00
1.4000000000e-03,	3.4276977376e-03,	2.5000025818e+00,	4.9790478236e+02,	4.0358526932e+02,	1.8863902608e+00
1.5000000000e-03,	3.6123111173e-03,	2.5000029339e+00,	4.9763659701e+02,	4.0734086434e+02,	1.8059146535e+00
1.6000000000e-03,	3.7888893325e-03,	2.5000033040e+00,	4.9735848991e+02,	4.1107354135e+02,	1.7256989712e+00
1.7000000000e-03,	3.9574619736e-03,	2.5000036914e+00,	4.9707153158e+02,	4.1478077425e+02,	1.6458151466e+00
1.8000000000e-03,	4.1180658173e-03,	2.5000040952e+00,	4.9677678022e+02,	4.1846003128e+02,	1.5663349788e+00
1.9000000000e-03,	4.2707448129e-03,	2.5000045147e+00,	4.9647528039e+02,	4.2210877471e+02,	1.4873301136e+00
2.0000000000e-03,	4.4155500663e-03,	2.5000049491e+00,	4.9616806177e+02,	4.2572446024e+02,	1.4088720306e+00
2.1000000000e-03,	4.5525398222e-03,	2.5000053976e+00,	4.9585613787e+02,	4.2930453613e+02,	1.3310320348e+00
2.2000000000e-03,	4.6817794473e-03,	2.5000058594e+00,	4.9554050474e+02,	4.3284644192e+02,	1.2538812564e+00
2.3000000000e-03,	4.8033414130e-03,	2.5000063337e+00,	4.9522213978e+02,	4.3634760686e+02,	1.1774906584e+00
2.4000000000e-03,	4.9173052789e-03,	2.5000068198e+00,	4.9490200045e+02,	4.3980544773e+02,	1.1019310543e+00
2.5000000000e-03,	5.0237576802e-03,	2.5000073169e+00,	4.9458102307e+02,	4.4321736618e+02,	1.0272731378e+00
2.6000000000e-03,	5.1227923167e-03,	2.5000078243e+00,	4.9426012160e+02,	4.4658074532e+02,	9.5358752561e-01
2.7000000000e-03,	5.2145099487e-03,	2.5000083412e+00,	4.9394018642e+02,	4.4989294548e+02,	8.8094481895e-01
2.8000000000e-03,	5.2990183993e-03,	2.5000088670e+00,	4.9362208318e+02,	4.5315129896e+02,	8.0941568439e-01
2.9000000000e-03,	5.3764325657e-03,	2.5000094008e+00,	4.9330665155e+02,	4.5635310348e+02,	7.3907096138e-01
3.0000000000e-03,	5.4468744432e-03,	2.5000099420e+00,	4.9299470411e+02,	4.5949561404e+02,	6.6998180151e-01
3.1000000000e-03,	5.5104731654e-03,	2.5000104899e+00,	4.9268702515e+02,	4.6257603272e+02,	6.0221984851e-01
3.2000000000e-03,	5.5673650642e-03,	2.5000110439e+00,	4.9238436950e+02,	4.6559149600e+02,	5.3585747012e-01
3.3000000000e-03,	5.6176937567e-03,	2.5000116032e+00,	4.9208746140e+02,	4.6853905853e+02,	4.7096805753e-01
3.4000000000e-03,	5.6616102659e-03,	2.5000121672e+00,	4.9179699330e+02,	4.7141567260e+02,	4.0762641414e-01
3.5000000000e-03,	5.6992731865e-03,	2.5000127353e+00,	4.9151362472e+02,	4.7421816149e+02,	3.4590926467e-01
3.6000000000e-03,	5.7308489088e-03,	2.5000133069e+00,	4.9123798102e+02,	4.7694318452e+02,	2.8589593005e-01
3.7000000000e-03,	5.7565119220e-03,	2.5000138813e+00,	4.9097065222e+02,	4.7958719040e+02,	2.2766923647e-01
3.8000000000e-03,	5.7764452231e-03,	2.5000144580e+00,	4.9071219172e+02,	4.8214635347e+02,	1.7131676504e-01
3.9000000000e-03,	5.7908408758e-03,	2.5000150364e+00,	4.9046311496e+02,	4.8461648425e+02,	1.1693261431e-01
4.0000000000e-03,	5.7999007819e-03,	2.5000156160e+00,	4.9022389803e+02,	4.8699289963e+02,	6.4619968054e-02
4.1000000000e-03,	5.8038377710e-03,	2.5000161962e+00,	4.8999497606e+02,	4.8927022633e+02,	1.4494994615e-02
4.2000000000e-03,	5.8028771845e-03,	2.5000167766e+00,	4.8977674148e+02,	4.9144208664e+02,	-3.3306903136e-02
4.3000000000e-03,	5.7972592865e-03,	2.5000173566e+00,	4.8956954189e+02,	4.9350055753e+02,	-7.8620312795e-02
4.4000000000e-03,	5.7872431733e-03,	2.5000179359e+00,	4.8937367737e+02,	4.9543513799e+02,	-1.2122921226e-01
4.5000000000e-03,	5.7731138011e-03,	2.5000185139e+00,	4.8918939693e+02,	4.9723043489e+02,	-1.6082075928e-01
