t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	0.0000000000e+00,	2.5000000000e+00,	7.0000000000e+02,	5.0000000000e+02,	4.0000000000e+00
1.0000000000e-04,	3.9557805618e-04,	2.5000000199e+00,	6.9558553162e+02,	5.0001952663e+02,	3.9113200999e+00
2.0000000000e-04,	7.8221718859e-04,	2.5000000788e+00,	6.9113896999e+02,	5.0007720537e+02,	3.8212352925e+00
3.0000000000e-04,	1.1597810531e-03,	2.5000001760e+00,	6.8666310374e+02,	5.0017167027e+02,	3.7298286694e+00
4.0000000000e-04,	1.5281416613e-03,	2.5000003105e+00,	6.8216074951e+02,	5.0030153758e+02,	3.6371842387e+00
5.0000000000e-04,	1.8871794685e-03,	2.5000004813e+00,	6.7763475056e+02,	5.0046540740e+02,	3.5433868632e+00
6.0000000000e-04,	2.2367834568e-03,	2.5000006876e+00,	6.7308797530e+02,	5.0066186530e+02,	3.4485222000e+00
7.0000000000e-04,	2.5768512112e-03,	2.5000009284e+00,	6.6852331590e+02,	5.0088948393e+02,	3.3526766393e+00
8.0000000000e-04,	2.9072889895e-03,	2.5000012026e+00,	6.6394368697e+02,	5.0114682475e+02,	3.2559372445e+00
9.0000000000e-04,	3.2280117875e-03,	2.5000015095e+00,	6.5935202424e+02,	5.0143243962e+02,	3.1583916923e+00
1.0000000000e-03,	3.5389433966e-03,	2.5000018479e+00,	6.5475128322e+02,	5.0174487254e+02,	3.0601282137e+00
1.1000000000e-03,	3.8400164565e-03,	2.5000022169e+00,	6.5014443805e+02,	5.0208266126e+02,	2.9612355357e+00
1.2000000000e-03,	4.1311725022e-03,	2.5000026156e+00,	6.4553448026e+02,	5.0244433906e+02,	2.8618028240e+00
1.3000000000e-03,	4.4123620048e-03,	2.5000030428e+00,	6.4092441775e+02,	5.0282843636e+02,	2.7619196277e+00
1.4000000000e-03,	4.6835444072e-03,	2.5000034977e+00,	6.3631727369e+02,	5.0323348248e+02,	2.6616758241e+00
1.5000000000e-03,	4.9446881542e-03,	2.5000039792e+00,	6.3171608565e+02,	5.0365800730e+02,	2.5611615669e+00
1.6000000000e-03,	5.1957707179e-03,	2.5000044863e+00,	6.2712390476e+02,	5.0410054301e+02,	2.4604672351e+00
1.7000000000e-03,	5.4367786171e-03,	2.5000050180e+00,	6.2254379500e+02,	5.0455962575e+02,	2.3596833850e+00
1.8000000000e-03,	5.6677074338e-03,	2.5000055733e+00,	6.1797883264e+02,	5.0503379738e+02,	2.2589007052e+00
1.9000000000e-03,	5.8885618231e-03,	2.5000061512e+00,	6.1343210585e+02,	5.0552160714e+02,	2.1582099741e+00
2.0000000000e-03,	6.0993555212e-03,	2.5000067507e+00,	6.0890671446e+02,	5.0602161338e+02,	2.0577020217e+00
2.1000000000e-03,	6.3001113483e-03,	2.5000073708e+00,	6.0440576997e+02,	5.0653238520e+02,	1.9574676954e+00
2.2000000000e-03,	6.4908612091e-03,	2.5000080104e+00,	5.9993239579e+02,	5.0705250422e+02,	1.8575978313e+00
2.3000000000e-03,	6.6716460901e-03,	2.5000086686e+00,	5.9548972773e+02,	5.0758056619e+02,	1.7581832308e+00
2.4000000000e-03,	6.8425160557e-03,	2.5000093444e+00,	5.9108091492e+02,	5.0811518271e+02,	1.6593146441e+00
2.5000000000e-03,	7.0035302425e-03,	2.5000100368e+00,	5.8670912100e+02,	5.0865498289e+02,	1.5610827623e+00
2.6000000000e-03,	7.1547568528e-03,	2.5000107448e+00,	5.8237752589e+02,	5.0919861500e+02,	1.4635782178e+00
2.7000000000e-03,	7.2962731502e-03,	2.5000114674e+00,	5.7808932800e+02,	5.0974474816e+02,	1.3668915969e+00
2.8000000000e-03,	7.4281654552e-03,	2.5000122037e+00,	5.7384774721e+02,	5.1029207394e+02,	1.2711134654e+00
2.9000000000e-03,	7.5505291457e-03,	2.5000129527e+00,	5.6965602850e+02,	5.1083930804e+02,	1.1763344091e+00
3.0000000000e-03,	7.6634686616e-03,	2.5000137135e+00,	5.6551744667e+02,	5.1138519189e+02,	1.0826450955e+00
3.1000000000e-03,	7.7670975170e-03,	2.5000144851e+00,	5.6143531215e+02,	5.1192849429e+02,	9.9013635713e-01
3.2000000000e-03,	7.8615383221e-03,	2.5000152666e+00,	5.5741297825e+02,	5.1246801302e+02,	8.9889930465e-01
3.3000000000e-03,	7.9469228180e-03,	2.5000160571e+00,	5.5345385025e+02,	5.1300257644e+02,	8.0902547617e-01
3.4000000000e-03,	8.0233919291e-03,	2.5000168557e+00,	5.4956139671e+02,	5.1353104514e+02,	7.2060703144e-01
3.5000000000e-03,	8.0910958369e-03,	2.5000176615e+00,	5.4573916370e+02,	5.1405231349e+02,	6.3373700420e-01
3.6000000000e-03,	8.1501940833e-03,	2.5000184736e+00,	5.4199079278e+02,	5.1456531131e+02,	5.4850962949e-01
3.7000000000e-03,	8.2008557109e-03,	2.5000192913e+00,	5.3832004392e+02,	5.1506900544e+02,	4.6502076965e-01
3.8000000000e-03,	8.2432594527e-03,	2.5000201135e+00,	5.3473082506e+02,	5.1556240142e+02,	3.8336847267e-01
