t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	1.6700000000e-02,	2.5000000000e+00,	2.5000000000e+02,	7.5000000000e+02,	-1.0000000000e+01
1.0000000000e-04,	1.5703014586e-02,	2.5000016201e+00,	2.5153932872e+02,	7.4846067094e+02,	-9.9384268444e+00
2.0000000000e-04,	1.4712568742e-02,	2.5000031408e+00,	2.5326923573e+02,	7.4673076282e+02,	-9.8692305418e+00
3.0000000000e-04,	1.3729418101e-02,	2.5000045629e+00,	2.5518635551e+02,	7.4481364109e+02,	-9.7925457115e+00
4.0000000000e-04,	1.2754304546e-02,	2.5000058870e+00,	2.5728717952e+02,	7.4271281420e+02,	-9.7085126936e+00
5.0000000000e-04,	1.1787955643e-02,	2.5000071140e+00,	2.5956805847e+02,	7.4043193136e+02,	-9.6172774579e+00
6.0000000000e-04,	1.0831084084e-02,	2.5000082449e+00,	2.6202520474e+02,	7.3797478018e+02,	-9.5189915088e+00
7.0000000000e-04,	9.8843871395e-03,	2.5000092806e+00,	2.6465469487e+02,	7.3534528407e+02,	-9.4138117839e+00
8.0000000000e-04,	8.9485461169e-03,	2.5000102221e+00,	2.6745247221e+02,	7.3254749970e+02,	-9.3019005498e+00
9.0000000000e-04,	8.0242258360e-03,	2.5000110707e+00,	2.7041434961e+02,	7.2958561421e+02,	-9.1834252921e+00
1.0000000000e-03,	7.1120741118e-03,	2.5000118274e+00,	2.7353601230e+02,	7.2646394240e+02,	-9.0585586020e+00
1.1000000000e-03,	6.2127212494e-03,	2.5000124935e+00,	2.7681302079e+02,	7.2318692379e+02,	-8.9274780599e+00
1.2000000000e-03,	5.3267795518e-03,	2.5000130704e+00,	2.8024081390e+02,	7.1975911962e+02,	-8.7903661144e+00
1.3000000000e-03,	4.4548428387e-03,	2.5000135593e+00,	2.8381471181e+02,	7.1618520978e+02,	-8.6474099596e+00
1.4000000000e-03,	3.5974859781e-03,	2.5000139618e+00,	2.8752991921e+02,	7.1246998964e+02,	-8.4988014087e+00
1.5000000000e-03,	2.7552644315e-03,	2.5000142793e+00,	2.9138152854e+02,	7.0861836684e+02,	-8.3447367661e+00
1.6000000000e-03,	1.9287138105e-03,	2.5000145134e+00,	2.9536452322e+02,	7.0463535808e+02,	-8.1854166972e+00
1.7000000000e-03,	1.1183494476e-03,	2.5000146656e+00,	2.9947378091e+02,	7.0052608577e+02,	-8.0210460973e+00
1.8000000000e-03,	3.2466598005e-04,	2.5000147376e+00,	3.0370407685e+02,	6.9629577478e+02,	-7.8518339586e+00
1.9000000000e-03,	-4.5186305377e-04,	2.5000147311e+00,	3.0805008719e+02,	6.9194974910e+02,	-7.6779932382e+00
2.0000000000e-03,	-1.2107856037e-03,	2.5000146478e+00,	3.1250639227e+02,	6.8749342850e+02,	-7.4997407247e+00
2.1000000000e-03,	-1.9516714846e-03,	2.5000144896e+00,	3.1706747992e+02,	6.8293232526e+02,	-7.3172969067e+00
2.2000000000e-03,	-2.6741127397e-03,	2.5000142581e+00,	3.2172774877e+02,	6.7827204088e+02,	-7.1308858421e+00
2.3000000000e-03,	-3.3777239911e-03,	2.5000139554e+00,	3.2648151141e+02,	6.7351826290e+02,	-6.9407350298e+00
2.4000000000e-03,	-4.0621427777e-03,	2.5000135832e+00,	3.3132299753e+02,	6.6867676177e+02,	-6.7470752849e+00
2.5000000000e-03,	-4.7270298805e-03,	2.5000131436e+00,	3.3624635696e+02,	6.6375338779e+02,	-6.5501406165e+00
2.6000000000e-03,	-5.3720696365e-03,	2.5000126385e+00,	3.4124566256e+02,	6.5875406820e+02,	-6.3501681128e+00
2.7000000000e-03,	-5.9969702406e-03,	2.5000120698e+00,	3.4631491298e+02,	6.5368480451e+02,	-6.1473978307e+00
2.8000000000e-03,	-6.6014640377e-03,	2.5000114397e+00,	3.5144803517e+02,	6.4855166988e+02,	-5.9420726941e+00
2.9000000000e-03,	-7.1853078046e-03,	2.5000107502e+00,	3.5663888672e+02,	6.4336080684e+02,	-5.7344384023e+00
3.0000000000e-03,	-7.7482830232e-03,	2.5000100034e+00,	3.6188125784e+02,	6.3811842529e+02,	-5.5247433490e+00
3.1000000000e-03,	-8.2901961469e-03,	2.5000092013e+00,	3.6716887303e+02,	6.3283080085e+02,	-5.3132385562e+00
3.2000000000e-03,	-8.8108788604e-03,	2.5000083461e+00,	3.7249539234e+02,	6.2750427357e+02,	-5.1001776247e+00
3.3000000000e-03,	-9.3101883361e-03,	2.5000074398e+00,	3.7785441204e+02,	6.2214524728e+02,	-4.8858167048e+00
3.4000000000e-03,	-9.7880074887e-03,	2.5000064847e+00,	3.8323946480e+02,	6.1676018940e+02,	-4.6704144920e+00
3.5000000000e-03,	-1.0244245231e-02,	2.5000054829e+00,	3.8864401902e+02,	6.1135563162e+02,	-4.4542322519e+00
3.6000000000e-03,	-1.0678836732e-02,	2.5000044366e+00,	3.9406147732e+02,	6.0593817137e+02,	-4.2375338810e+00
3.7000000000e-03,	-1.1091743687e-02,	2.5000033479e+00,	3.9948517392e+02,	6.0051447453e+02,	-4.0205860122e+00
3.8000000000e-03,	-1.1482954598e-02,	2.5000022190e+00,	4.0490837065e+02,	5.9509127928e+02,	-3.8036581727e+00
