t,	v,	x,	p1,	p2,	a
0.0000000000e+00,	5.0100000000e-02,	2.5000000000e+00,	3.5000000000e+02,	2.5000000000e+02,	2.0000000000e+00
1.0000000000e-04,	5.0278102330e-02,	2.5000050193e+00,	3.4340984346e+02,	2.6528063217e+02,	1.5625842257e+00
2.0000000000e-04,	5.0412630885e-02,	2.5000100542e+00,	3.3686877713e+02,	2.8043928965e+02,	1.1285897496e+00
3.0000000000e-04,	5.0503947427e-02,	2.5000151004e+00,	3.3038353559e+02,	2.9546304620e+02,	6.9840978764e-01
4.0000000000e-04,	5.0552453213e-02,	2.5000201535e+00,	3.2396082793e+02,	3.1033877445e+02,	2.7244106952e-01
5.0000000000e-04,	5.0558589371e-02,	2.5000252094e+00,	3.1760732224e+02,	3.2505310121e+02,	-1.4891557937e-01
6.0000000000e-04,	5.0522837352e-02,	2.5000302639e+00,	3.1132963108e+02,	3.3959234925e+02,	-5.6525436333e-01
7.0000000000e-04,	5.0445719486e-02,	2.5000353126e+00,	3.0513429771e+02,	3.5394246051e+02,	-9.7616325610e-01
8.0000000000e-04,	5.0327799687e-02,	2.5000403516e+00,	2.9902778300e+02,	3.6808889378e+02,	-1.3812222156e+00
9.0000000000e-04,	5.0169684378e-02,	2.5000453768e+00,	2.9301645283e+02,	3.8201648583e+02,	-1.7800006600e+00
1.0000000000e-03,	4.9972023709e-02,	2.5000503843e+00,	2.8710656574e+02,	3.9570925914e+02,	-2.1720538679e+00
1.1000000000e-03,	4.9735513219e-02,	2.5000553700e+00,	2.8130426086e+02,	4.0915014842e+02,	-2.5569177514e+00
1.2000000000e-03,	4.9460896135e-02,	2.5000603301e+00,	2.7561554574e+02,	4.2232059821e+02,	-2.9341010493e+00
1.3000000000e-03,	4.9148966650e-02,	2.5000652609e+00,	2.7004628412e+02,	4.3519994431e+02,	-3.3030732039e+00
1.4000000000e-03,	4.8800574756e-02,	2.5000701587e+00,	2.6460218302e+02,	4.4776440703e+02,	-3.6632444803e+00
1.5000000000e-03,	4.8416633747e-02,	2.5000750198e+00,	2.5928877902e+02,	4.5998531871e+02,	-4.0139307938e+00
1.6000000000e-03,	4.7998132698e-02,	2.5000798408e+00,	2.5411142273e+02,	4.7182562957e+02,	-4.3542841369e+00
1.7000000000e-03,	4.7546159775e-02,	2.5000846183e+00,	2.4907525998e+02,	4.8323166000e+02,	-4.6831280004e+00
1.8000000000e-03,	4.7061956254e-02,	2.5000893490e+00,	2.4418520593e+02,	4.9410537390e+02,	-4.9984033592e+00
1.9000000000e-03,	4.6547214678e-02,	2.5000940297e+00,	2.3944589398e+02,	5.0395214326e+02,	-5.2901249857e+00
2.0000000000e-03,	4.6004755572e-02,	2.5000986575e+00,	2.3486148636e+02,	5.1268933049e+02,	-5.5565568825e+00
2.1000000000e-03,	4.5436337910e-02,	2.5001032298e+00,	2.3043565617e+02,	5.2092678708e+02,	-5.8098226183e+00
2.2000000000e-03,	4.4843162877e-02,	2.5001077440e+00,	2.2617180145e+02,	5.2876705759e+02,	-6.0519051228e+00
2.3000000000e-03,	4.4226299502e-02,	2.5001121976e+00,	2.2207309998e+02,	5.3625798924e+02,	-6.2836977851e+00
2.4000000000e-03,	4.3586748958e-02,	2.5001165885e+00,	2.1814252843e+02,	5.4342830570e+02,	-6.5057155454e+00
2.5000000000e-03,	4.2925471092e-02,	2.5001209143e+00,	2.1438287279e+02,	5.5029732130e+02,	-6.7182889704e+00
2.6000000000e-03,	4.2243398379e-02,	2.5001251729e+00,	2.1079673489e+02,	5.5687892664e+02,	-6.9216438349e+00
2.7000000000e-03,	4.1541444207e-02,	2.5001293623e+00,	2.0738653660e+02,	5.6318357830e+02,	-7.1159408339e+00
2.8000000000e-03,	4.0820508176e-02,	2.5001334805e+00,	2.0415452269e+02,	5.6921942063e+02,	-7.3012979588e+00
2.9000000000e-03,	4.0081479623e-02,	2.5001375258e+00,	2.0110276284e+02,	5.7499297332e+02,	-7.4778042097e+00
3.0000000000e-03,	3.9325240050e-02,	2.5001414962e+00,	1.9823315303e+02,	5.8050957974e+02,	-7.6455285341e+00
3.1000000000e-03,	3.8552664803e-02,	2.5001453903e+00,	1.9554741661e+02,	5.8577371350e+02,	-7.8045259378e+00
3.2000000000e-03,	3.7764624239e-02,	2.5001492063e+00,	1.9304710506e+02,	5.9078919619e+02,	-7.9548418225e+00
3.3000000000e-03,	3.6961984519e-02,	2.5001529427e+00,	1.9073359858e+02,	5.9555935665e+02,	-8.0965151614e+00
3.4000000000e-03,	3.6145608125e-02,	2.5001565982e+00,	1.8860810662e+02,	6.0008715079e+02,	-8.2295808835e+00
3.5000000000e-03,	3.5316354171e-02,	2.5001601714e+00,	1.8667166830e+02,	6.0437525334e+02,	-8.3540717006e+00
3.6000000000e-03,	3.4475078551e-02,	2.5001636611e+00,	1.8492515288e+02,	6.0842612959e+02,	-8.4700195341e+00
3.7000000000e-03,	3.3622633957e-02,	2.5001670660e+00,	1.8336926016e+02,	6.1224209237e+02,	-8.5774566441e+00
3.8000000000e-03,	3.2759869799e-02,	2.5001703853e+00,	1.8200452097e+02,	6.1582534773e+02,	-8.6764165351e+00
3.9000000000e-03,	3.1887632044e-02,	2.5001736177e+00,	1.8083129770e+02,	6.1917803218e+02,	-8.7669346898e+00
4.0000000000e-03,	3.1006762987e-02,	2.5001767625e+00,	1.7984978484e+02,	6.2230224325e+02,	-8.8490491681e+00
4.1000000000e-03,	3.0118100966e-02,	2.5001798188e+00,	1.7906000972e+02,	6.2520006471e+02,	-8.9228010998e+00
4.2000000000e-03,	2.9222480036e-02,	2.5001827859e+00,	1.7846183314e+02,	6.2787358772e+02,	-8.9882350915e+00
4.3000000000e-03,	2.8320729603e-02,	2.5001856631e+00,	1.7805495028e+02,	6.3032492844e+02,	-9.0453995631e+00
4.4000000000e-03,	2.7413674028e-02,	2.5001884498e+00,	1.7783889160e+02,	6.3255624296e+02,	-9.0943470272e+00
4.5000000000e-03,	2.6502132208e-02,	2.5001911457e+00,	1.7781302381e+02,	6.3456973982e+02,	-9.1351343202e+00
4.6000000000e-03,	2.5586917130e-02,	2.5001937502e+00,	1.7797655106e+02,	6.3636769071e+02,	-9.1678227930e+00
4.7000000000e-03,	2.4668835415e-02,	2.5001962630e+00,	1.7832851612e+02,	6.3795243945e+02,	-9.1924784665e+00
4.8000000000e-03,	2.3748686841e-02,	2.5001986839e+00,	1.7886780175e+02,	6.3932640967e+02,	-9.2091721584e+00
4.9000000000e-03,	2.2827263864e-02,	2.5002010127e+00,	1.7959313209e+02,	6.4049211128e+02,	-9.2179795838e+00
5.0000000000e-03,	2.1905351116e-02,	2.5002032493e+00,	1.8050307424e+02,	6.4145214589e+02,	-9.2189814330e+00
5.1000000000e-03,	2.0983724911e-02,	2.5002053937e+00,	1.8159603993e+02,	6.4220921145e+02,	-9.2122634305e+00
5.2000000000e-03,	2.0063152737e-02,	2.5002074461e+00,	1.8287028725e+02,	6.4276610600e+02,	-9.1979163750e+00
