T,X,V,A,P1,P2,U
0.000000000000000e+00,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
1.000100011687266e-03,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
2.000100023373363e-03,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
3.000100035059461e-03,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
4.000100046745558e-03,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
5.000100058431656e-03,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
6.000100070117753e-03,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
7.000100081803851e-03,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
8.000100093489948e-03,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
9.000100105176045e-03,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
1.000010011686214e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
1.100010012854824e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
1.200010014023434e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
1.300010015192044e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
1.400010016360653e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
1.500010017529263e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
1.600010018697873e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
1.700010019866482e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
1.800010021035092e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
1.900010022203702e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
2.000010023372312e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
2.100010024540921e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
2.200010025709531e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
2.300010026878141e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
2.400010028046751e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
2.500010029215360e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
2.600010030383970e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
2.700010031552580e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
2.800010032721190e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
2.900010033889799e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
3.000010035058409e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
3.100010036227019e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
3.200010037395629e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
3.300010038564238e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
3.400000039732731e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
3.500000040901341e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
3.600000042069951e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
3.700000043238560e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
3.800000044407170e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
3.900000045575780e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
4.000000046744390e-02,	2.000000000000000e+00,	0.000000000000000e+00,	-0.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00
