T,X,V,A,P1,P2,U
0.000000000000000e+00,	2.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	8.571486622172188e+06,	1.142864837782781e+07,	1.000000000000000e+00
1.000100011687266e-03,	2.000000327383643e+00,	9.957475287566435e-04,	2.003534378519911e+00,	8.572945048943795e+06,	1.142718995105620e+07,	1.000000000000000e+00
2.000100023373363e-03,	2.000002641577034e+00,	3.941178033711255e-03,	3.854998184440266e+00,	8.574294252949648e+06,	1.142584074705035e+07,	1.000000000000000e+00
3.000100035059461e-03,	2.000008795172492e+00,	8.643354768234303e-03,	5.519268225262200e+00,	8.575508539395893e+06,	1.142462646060411e+07,	1.000000000000000e+00
4.000100046745558e-03,	2.000020453528587e+00,	1.492167958129538e-02,	7.009408305682908e+00,	8.576597281657912e+06,	1.142353771834209e+07,	1.000000000000000e+00
5.000100058431656e-03,	2.000039107811733e+00,	2.260824198363348e-02,	8.337736036917669e+00,	8.577569319437621e+06,	1.142256568056238e+07,	1.000000000000000e+00
6.000100070117753e-03,	2.000066087316835e+00,	3.154709099770115e-02,	9.515858690078977e+00,	8.578432984319394e+06,	1.142170201568061e+07,	1.000000000000000e+00
7.000100081803851e-03,	2.000102571077384e+00,	4.159354216600810e-02,	1.055470766510045e+01,	8.579196124344224e+06,	1.142093887565578e+07,	1.000000000000000e+00
8.000100093489948e-03,	2.000149598799621e+00,	5.261351835000590e-02,	1.146457160852212e+01,	8.579866127625512e+06,	1.142026887237449e+07,	1.000000000000000e+00
9.000100105176045e-03,	2.000208081153884e+00,	6.448292298537876e-02,	1.225512821421105e+01,	8.580449945030143e+06,	1.141968505496986e+07,	1.000000000000000e+00
1.000010011686214e-02,	2.000278809454759e+00,	7.708704449393461e-02,	1.293547474166660e+01,	8.580954111949222e+06,	1.141918088805078e+07,	1.000000000000000e+00
1.100010012854824e-02,	2.000362464760852e+00,	9.031999058704956e-02,	1.351415728667032e+01,	8.581384769182818e+06,	1.141875023081718e+07,	1.000000000000000e+00
1.200010014023434e-02,	2.000459626423222e+00,	1.040841512306948e-01,	1.399919883965952e+01,	8.581747682963528e+06,	1.141838731703647e+07,	1.000000000000000e+00
1.300010015192044e-02,	2.000570780110529e+00,	1.182896890773234e-01,	1.439812616695079e+01,	8.582048264143586e+06,	1.141808673585641e+07,	1.000000000000000e+00
1.400010016360653e-02,	2.000696325338016e+00,	1.328540562051660e-01,	1.471799555023691e+01,	8.582291586570418e+06,	1.141784341342958e+07,	1.000000000000000e+00
1.500010017529263e-02,	2.000836582525897e+00,	1.477015360407748e-01,	1.496541741942944e+01,	8.582482404675383e+06,	1.141765259532462e+07,	1.000000000000000e+00
1.600010018697873e-02,	2.000991799611555e+00,	1.627628093757295e-01,	1.514657991393385e+01,	8.582625170300366e+06,	1.141750982969963e+07,	1.000000000000000e+00
1.700010019866482e-02,	2.001162158239846e+00,	1.779745434232873e-01,	1.526727140704726e+01,	8.582724048786782e+06,	1.141741095121322e+07,	1.000000000000000e+00
1.800010021035092e-02,	2.001347779552960e+00,	1.932790028953458e-01,	1.533290202785320e+01,	8.582782934351187e+06,	1.141735206564881e+07,	1.000000000000000e+00
1.900010022203702e-02,	2.001548729602507e+00,	2.086236821142450e-01,	1.534852421465512e+01,	8.582805464771584e+06,	1.141732953522842e+07,	1.000000000000000e+00
2.000010023372312e-02,	2.001765024403438e+00,	2.239609572076895e-01,	1.531885233335110e+01,	8.582795035408022e+06,	1.141733996459198e+07,	1.000000000000000e+00
2.100010024540921e-02,	2.001996634650094e+00,	2.392477574683233e-01,	1.524828139375039e+01,	8.582754812580829e+06,	1.141738018741917e+07,	1.000000000000000e+00
2.200010025709531e-02,	2.002243490112535e+00,	2.544452549921686e-01,	1.514090489639131e+01,	8.582687746329546e+06,	1.141744725367045e+07,	1.000000000000000e+00
2.300010026878141e-02,	2.002505483731639e+00,	2.695185717423220e-01,	1.500053184144354e+01,	8.582596582574867e+06,	1.141753841742513e+07,	1.000000000000000e+00
2.400010028046751e-02,	2.002782475429314e+00,	2.844365032157216e-01,	1.483070293113026e+01,	8.582483874705914e+06,	1.141765112529409e+07,	1.000000000000000e+00
2.500010029215360e-02,	2.003074295650584e+00,	2.991712579217060e-01,	1.463470599590333e+01,	8.582351994614255e+06,	1.141778300538575e+07,	1.000000000000000e+00
2.600010030383970e-02,	2.003380748652583e+00,	3.136982119112408e-01,	1.441559067451070e+01,	8.582203143196011e+06,	1.141793185680399e+07,	1.000000000000000e+00
2.700010031552580e-02,	2.003701615555424e+00,	3.279956776251701e-01,	1.417618237678695e+01,	8.582039360342504e+06,	1.141809563965750e+07,	1.000000000000000e+00
2.800010032721190e-02,	2.004036657168594e+00,	3.420446863585885e-01,	1.391909555775584e+01,	8.581862534439793e+06,	1.141827246556021e+07,	1.000000000000000e+00
2.900010033889799e-02,	2.004385616606528e+00,	3.558287836664595e-01,	1.364674633061110e+01,	8.581674411396565e+06,	1.141846058860344e+07,	1.000000000000000e+00
3.000010035058409e-02,	2.004748221705801e+00,	3.693338370629337e-01,	1.336136444542672e+01,	8.581476603219522e+06,	1.141865839678048e+07,	1.000000000000000e+00
3.100010036227019e-02,	2.005124187255694e+00,	3.825478553932825e-01,	1.306500466014477e+01,	8.581270596155113e+06,	1.141886440384489e+07,	1.000000000000000e+00
3.200010037395629e-02,	2.005513217053929e+00,	3.954608192832135e-01,	1.275955752847849e+01,	8.581057758415060e+06,	1.141907724158494e+07,	1.000000000000000e+00
3.300010038564238e-02,	2.005915005798008e+00,	4.080645220953380e-01,	1.244675963026523e+01,	8.580839347503912e+06,	1.141929565249609e+07,	1.000000000000000e+00
3.400000039732731e-02,	2.006329198787532e+00,	4.203512080248694e-01,	1.212823536135465e+01,	8.580616539633036e+06,	1.141951846036696e+07,	1.000000000000000e+00
3.500000040901341e-02,	2.006755560461130e+00,	4.323183160295799e-01,	1.180537810496264e+01,	8.580390346716529e+06,	1.141974465328347e+07,	1.000000000000000e+00
3.600000042069951e-02,	2.007193727266080e+00,	4.439609756334594e-01,	1.147955027981980e+01,	8.580161756459536e+06,	1.141997324354046e+07,	1.000000000000000e+00
3.700000043238560e-02,	2.007643373475539e+00,	4.552768321133894e-01,	1.115196454469727e+01,	8.579931649437409e+06,	1.142020335056259e+07,	1.000000000000000e+00
3.800000044407170e-02,	2.008104171595621e+00,	4.662646875829938e-01,	1.082372317553521e+01,	8.579700826756451e+06,	1.142043417324355e+07,	1.000000000000000e+00
3.900000045575780e-02,	2.008575793468134e+00,	4.769243943235251e-01,	1.049582542364798e+01,	8.579470015329873e+06,	1.142066498467013e+07,	1.000000000000000e+00
4.000000046744390e-02,	2.009057911270604e+00,	4.872567552683323e-01,	1.016917446772737e+01,	8.579239872863432e+06,	1.142089512713657e+07,	1.000000000000000e+00
4.100000047912999e-02,	2.009550198419834e+00,	4.972634312442219e-01,	9.844583978738456e+00,	8.579010992564326e+06,	1.142112400743567e+07,	1.000000000000000e+00
4.200000049081609e-02,	2.010052330386154e+00,	5.069468545914064e-01,	9.522784315228742e+00,	8.578783907585861e+06,	1.142135109241414e+07,	1.000000000000000e+00
4.300000050250219e-02,	2.010563985424282e+00,	5.163101488016253e-01,	9.204428367251111e+00,	8.578559095220795e+06,	1.142157590477921e+07,	1.000000000000000e+00
4.400000051418829e-02,	2.011084845226686e+00,	5.253570538310574e-01,	8.890097064698177e+00,	8.578336980854683e+06,	1.142179801914532e+07,	1.000000000000000e+00
4.500000052587438e-02,	2.011614595504851e+00,	5.340918567611941e-01,	8.580304567485715e+00,	8.578117941691622e+06,	1.142201705830838e+07,	1.000000000000000e+00
4.600000053756048e-02,	2.012152926503926e+00,	5.425193274966607e-01,	8.275503151927067e+00,	8.577902310262630e+06,	1.142223268973737e+07,	1.000000000000000e+00
4.700000054924658e-02,	2.012699533455416e+00,	5.506446592041216e-01,	7.976087808877278e+00,	8.577690377727756e+06,	1.142244462227224e+07,	1.000000000000000e+00
4.800000056093268e-02,	2.013254116972456e+00,	5.584734132111763e-01,	7.682400567850365e+00,	8.577482396982072e+06,	1.142265260301793e+07,	1.000000000000000e+00
4.900000057261877e-02,	2.013816383392215e+00,	5.660114680980280e-01,	7.394734560882990e+00,	8.577278585575357e+06,	1.142285641442464e+07,	1.000000000000000e+00
5.000000058430487e-02,	2.014386045069299e+00,	5.732649727282417e-01,	7.113337838863158e+00,	8.577079128454560e+06,	1.142305587154544e+07,	1.000000000000000e+00
5.100000059599097e-02,	2.014962820624191e+00,	5.802403029778322e-01,	6.838416953820238e+00,	8.576884180538656e+06,	1.142325081946134e+07,	1.000000000000000e+00
5.200000060767707e-02,	2.015546435150063e+00,	5.869440219341591e-01,	6.570140318519525e+00,	8.576693869134018e+06,	1.142344113086598e+07,	1.000000000000000e+00
5.300000061936316e-02,	2.016136620381332e+00,	5.933828433481368e-01,	6.308641355054563e+00,	8.576508296198644e+06,	1.142362670380136e+07,	1.000000000000000e+00
5.400000063104926e-02,	2.016733114827461e+00,	5.995635981343759e-01,	6.054021444130413e+00,	8.576327540463563e+06,	1.142380745953644e+07,	1.000000000000000e+00
5.500000064273536e-02,	2.017335663874547e+00,	6.054932037249067e-01,	5.806352684675241e+00,	8.576151659418344e+06,	1.142398334058166e+07,	1.000000000000000e+00
5.600000065442146e-02,	2.017944019857600e+00,	6.111786360923194e-01,	5.565680474627814e+00,	8.575980691168433e+06,	1.142415430883157e+07,	1.000000000000000e+00
5.700000066610755e-02,	2.018557942106175e+00,	6.166269042682134e-01,	5.332025922314704e+00,	8.575814656171050e+06,	1.142432034382895e+07,	1.000000000000000e+00
5.800000067779365e-02,	2.019177196965613e+00,	6.218450271921810e-01,	5.105388097685275e+00,	8.575653558856258e+06,	1.142448144114374e+07,	1.000000000000000e+00
5.900000068947975e-02,	2.019801557796324e+00,	6.268400127356265e-01,	4.885746132278808e+00,	8.575497389139570e+06,	1.142463761086043e+07,	1.000000000000000e+00
6.000000070116585e-02,	2.020430804953079e+00,	6.316188387533552e-01,	4.673061176001126e+00,	8.575346123831851e+06,	1.142478887616815e+07,	1.000000000000000e+00
6.100000071285194e-02,	2.021064725746371e+00,	6.361884360239847e-01,	4.467278219371233e+00,	8.575199727952695e+06,	1.142493527204731e+07,	1.000000000000000e+00
6.200000072453804e-02,	2.021703114387405e+00,	6.405556729482007e-01,	4.268327788362765e+00,	8.575058155952418e+06,	1.142507684404758e+07,	1.000000000000000e+00
6.300000073622414e-02,	2.022345771918873e+00,	6.447273418811851e-01,	4.076127518862971e+00,	8.574921352847625e+06,	1.142521364715238e+07,	1.000000000000000e+00
6.400000074791024e-02,	2.022992506132705e+00,	6.487101469827683e-01,	3.890583618680730e+00,	8.574789255276076e+06,	1.142534574472392e+07,	1.000000000000000e+00
6.500000075959633e-02,	2.023643131476326e+00,	6.525106934754823e-01,	3.711592222819024e+00,	8.574661792474926e+06,	1.142547320752507e+07,	1.000000000000000e+00
6.600000077128243e-02,	2.024297468948938e+00,	6.561354782072614e-01,	3.539040648247223e+00,	8.574538887186777e+06,	1.142559611281322e+07,	1.000000000000000e+00
6.700000078296853e-02,	2.024955345988940e+00,	6.595908814215512e-01,	3.372808554875159e+00,	8.574420456498392e+06,	1.142571454350161e+07,	1.000000000000000e+00
6.800000079465462e-02,	2.025616596353654e+00,	6.628831596433798e-01,	3.212769017632734e+00,	8.574306412615506e+06,	1.142582858738449e+07,	1.000000000000000e+00
6.900000080634072e-02,	2.026281059992469e+00,	6.660184395955713e-01,	3.058789515278090e+00,	8.574196663577847e+06,	1.142593833642215e+07,	1.000000000000000e+00
7.000000081802682e-02,	2.026948582914447e+00,	6.690027130643316e-01,	2.910732841416445e+00,	8.574091113918200e+06,	1.142604388608180e+07,	1.000000000000000e+00
7.100000082971292e-02,	2.027619017051182e+00,	6.718418326386325e-01,	2.768457941675912e+00,	8.573989665268429e+06,	1.142614533473157e+07,	1.000000000000000e+00
7.200000084139901e-02,	2.028292220115712e+00,	6.745415082522884e-01,	2.631820682702222e+00,	8.573892216916438e+06,	1.142624278308356e+07,	1.000000000000000e+00
7.300000085308511e-02,	2.028968055458602e+00,	6.771073044623166e-01,	2.500674556529881e+00,	8.573798666316684e+06,	1.142633633368332e+07,	1.000000000000000e+00
7.400000086477121e-02,	2.029646391921363e+00,	6.795446384011782e-01,	2.374871324567682e+00,	8.573708909557210e+06,	1.142642609044279e+07,	1.000000000000000e+00
7.500000087645731e-02,	2.030327103688299e+00,	6.818587783447047e-01,	2.254261605664925e+00,	8.573622841786478e+06,	1.142651215821352e+07,	1.000000000000000e+00
7.600000088814340e-02,	2.031010070137191e+00,	6.840548428411392e-01,	2.138695410746683e+00,	8.573540357601702e+06,	1.142659464239830e+07,	1.000000000000000e+00
7.700000089982950e-02,	2.031695175689321e+00,	6.861378003504346e-01,	2.028022629305787e+00,	8.573461351402547e+06,	1.142667364859745e+07,	1.000000000000000e+00
7.800000091151560e-02,	2.032382309659414e+00,	6.881124693462308e-01,	1.922093469005423e+00,	8.573385717711054e+06,	1.142674928228895e+07,	1.000000000000000e+00
7.900000092320170e-02,	2.033071366105902e+00,	6.899835188362399e-01,	1.820758853116282e+00,	8.573313351461152e+06,	1.142682164853885e+07,	1.000000000000000e+00
8.000000093488779e-02,	2.033762243681813e+00,	6.917554692596950e-01,	1.723870777795419e+00,	8.573244148259284e+06,	1.142689085174072e+07,	1.000000000000000e+00
8.100000094657389e-02,	2.034454845486896e+00,	6.934326937234445e-01,	1.631282632535960e+00,	8.573178004618442e+06,	1.142695699538156e+07,	1.000000000000000e+00
8.200000095825999e-02,	2.035149078920860e+00,	6.950194195409153e-01,	1.542849485877448e+00,	8.573114818167148e+06,	1.142702018183285e+07,	1.000000000000000e+00
8.300000096994609e-02,	2.035844855538690e+00,	6.965197300407727e-01,	1.458428339560128e+00,	8.573054487835713e+06,	1.142708051216429e+07,	1.000000000000000e+00
8.400000098163218e-02,	2.036542090907461e+00,	6.979375666143849e-01,	1.377878352401366e+00,	8.572996914020576e+06,	1.142713808597942e+07,	1.000000000000000e+00
