T,V,X,P1,P2,A,F,F1,F2,Q1,Q2,QI,QS,Y,U,DT
0.000000000000000e+00,	0.000000000000000e+00,	2.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.529839632512594e+04,	1.529839632512594e+04,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,1.000000000000000e-07
1.000099999999772e-03,	0.000000000000000e+00,	2.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.529839632512594e+04,	1.529839632512594e+04,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,1.000000000000000e-07
2.000100000000236e-03,	0.000000000000000e+00,	2.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.529839632512594e+04,	1.529839632512594e+04,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,1.000000000000000e-07
3.000099999998634e-03,	0.000000000000000e+00,	2.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.529839632512594e+04,	1.529839632512594e+04,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,1.000000000000000e-07
4.000099999997439e-03,	0.000000000000000e+00,	2.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.529839632512594e+04,	1.529839632512594e+04,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,1.000000000000000e-07
5.000100000000174e-03,	0.000000000000000e+00,	2.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.529839632512594e+04,	1.529839632512594e+04,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,1.000000000000000e-07
6.000100000002909e-03,	0.000000000000000e+00,	2.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.529839632512594e+04,	1.529839632512594e+04,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,1.000000000000000e-07
7.000100000005643e-03,	0.000000000000000e+00,	2.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.529839632512594e+04,	1.529839632512594e+04,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,1.000000000000000e-07
8.000100000006751e-03,	0.000000000000000e+00,	2.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.529839632512594e+04,	1.529839632512594e+04,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,1.000000000000000e-07
9.000100000000812e-03,	0.000000000000000e+00,	2.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.529839632512594e+04,	1.529839632512594e+04,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,1.000000000000000e-07
1.000009999999487e-02,	0.000000000000000e+00,	2.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.529839632512594e+04,	1.529839632512594e+04,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,1.000000000000000e-07
1.100009999998893e-02,	0.000000000000000e+00,	2.000000000000000e+00,	3.043519291785786e+06,	6.956615708214214e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.529839632512594e+04,	1.529839632512594e+04,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,	0.000000000000000e+00,1.000000000000000e-07
