T,V,X,P1,P2,A,F,F1,F2,Q1,Q2,QI,QS,Y,U,DT
0.000000000000000e+00,	6.811074960786843e-01,	2.000000000000000e+00,	7.744180866006240e+05,	1.765968944633017e+06,	2.270358320253675e+00,	9.081433281040518e+00,	3.892649815671320e+03,	3.883568382390280e+03,	4.564826183577772e-03,	-1.997111402454376e-03,	4.564826183577772e-03,	-1.997111402454376e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
1.000099999999772e-03,	6.866282832895370e-01,	2.000683397425438e+00,	7.755562790030401e+05,	1.765607043155350e+06,	8.732192268473053e+00,	1.559847510136842e+01,	3.898370994608284e+03,	3.882772519506915e+03,	4.564544585582623e-03,	-1.996906741476694e-03,	4.564544585582623e-03,	-1.996906741476694e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
2.000100000000236e-03,	6.984659267844505e-01,	2.001375432371656e+00,	7.766498137726896e+05,	1.765259322143622e+06,	1.487519943957938e+01,	2.185985870742388e+01,	3.903867699803008e+03,	3.882007841095584e+03,	4.564274019882197e-03,	-1.996710080014817e-03,	4.564274019882197e-03,	-1.996710080014817e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
3.000099999998634e-03,	7.162146468108632e-01,	2.002082301486171e+00,	7.776678154516374e+05,	1.764935606126542e+06,	2.052663538837419e+01,	2.768878185648282e+01,	3.908984734278926e+03,	3.881295952422443e+03,	4.564022128392763e-03,	-1.996526977707465e-03,	4.564022128392763e-03,	-1.996526977707465e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
4.000099999997439e-03,	7.393026415662127e-01,	2.002809643068669e+00,	7.785817973838780e+05,	1.764644964439587e+06,	2.552908407472102e+01,	3.292211049038315e+01,	3.913578908487435e+03,	3.880656797997051e+03,	4.563795963414202e-03,	-1.996362568804877e-03,	4.563795963414202e-03,	-1.996362568804877e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
5.000100000000174e-03,	7.670105273939045e-01,	2.003562448129796e+00,	7.793665701415465e+05,	1.764395422112596e+06,	2.974547550103716e+01,	3.741558077497621e+01,	3.917523606556009e+03,	3.880108025781033e+03,	4.563601762323414e-03,	-1.996221398002318e-03,	4.563601762323414e-03,	-1.996221398002318e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
6.000100000002909e-03,	7.984936067528865e-01,	2.004344923632254e+00,	7.800009315818766e+05,	1.764193740029012e+06,	3.306281509221530e+01,	4.104775115974417e+01,	3.920712254892735e+03,	3.879664503732991e+03,	4.563444776211620e-03,	-1.996107295347076e-03,	4.563444776211620e-03,	-1.996107295347076e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
7.000100000005643e-03,	8.328075062850369e-01,	2.005160379746158e+00,	7.804682345729332e+05,	1.764045233770720e+06,	3.539517939666683e+01,	4.372325445951719e+01,	3.923061175887057e+03,	3.879337921427540e+03,	4.563329128780467e-03,	-1.996023273013265e-03,	4.563329128780467e-03,	-1.996023273013265e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
8.000100000006751e-03,	8.689364097993724e-01,	2.006011144107915e+00,	7.807568172058902e+05,	1.763953635935557e+06,	3.668589901881486e+01,	4.537526311680858e+01,	3.924511750392512e+03,	3.879136487275704e+03,	4.563257709326972e-03,	-1.995971446740913e-03,	4.563257709326972e-03,	-1.995971446740913e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
9.000100000000812e-03,	9.058230439717070e-01,	2.006898505260397e+00,	7.808602844704428e+05,	1.763921005412375e+06,	3.690887413168918e+01,	4.596710457140625e+01,	3.925031833581758e+03,	3.879064729010352e+03,	4.563232102609154e-03,	-1.995952983988433e-03,	4.563232102609154e-03,	-1.995952983988433e-03,	1.000000000000000e+00,	1.000000000000000e+00,1.000000000000000e-07
