T,X,V,A,P1,P2,DP1,DP2,U
0.000000000000000e+00,	5.000000000000000e+00,	6.811074960786843e-01,	0.000000000000000e+00,	7.744180866006240e+05,	1.765968944633017e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.000100011687266e-03,	5.000000000000000e+00,	6.844474122933575e-01,	4.400138923515824e+00,	7.747440381039592e+05,	1.765730319327492e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
2.000100023373363e-03,	5.000000000000000e+00,	6.898868313358121e-01,	6.466558697865452e+00,	7.750636061928773e+05,	1.765496367232808e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
3.000100035059461e-03,	5.000000000000000e+00,	6.973531136193973e-01,	8.450762310844025e+00,	7.753738399129667e+05,	1.765269248702440e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
4.000100046745558e-03,	5.000000000000000e+00,	7.067549046170083e-01,	1.033464924673002e+01,	7.756718741890938e+05,	1.765051061218884e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
5.000100058431656e-03,	5.000000000000000e+00,	7.179833044950890e-01,	1.210125556160591e+01,	7.759549887693039e+05,	1.764843796241554e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
6.000100070117753e-03,	5.000000000000000e+00,	7.309130809980366e-01,	1.373490431883605e+01,	7.762206327203260e+05,	1.764649321273963e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
7.000100081803851e-03,	5.000000000000000e+00,	7.454040259874990e-01,	1.522134225668724e+01,	7.764664470649718e+05,	1.764469363291190e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
8.000100093489948e-03,	5.000000000000000e+00,	7.613024412732232e-01,	1.654786152200824e+01,	7.766902853640793e+05,	1.764305493672118e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
9.000100105176045e-03,	5.000000000000000e+00,	7.784427382822647e-01,	1.770340545787945e+01,	7.768902320672127e+05,	1.764159114765138e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.000010011686214e-02,	5.000000000000000e+00,	7.966491351817303e-01,	1.867865759524875e+01,	7.770646184793503e+05,	1.764031448199154e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
